"Team","bullpenStrikeoutRate","bullpenWalkRate","bullpenwOBA","wOBA","lineLearnedPF"
"Angels",0.241899325104891,0.100209796068137,0.374602705873864,0.98,0.954817242799377
"Astros",0.272066785593219,0.0870323453278965,0.369330886685682,0.987,0.980501152053936
"Athletics",0.241892745757565,0.0908295789188521,0.366988869376419,0.98,0.970208794857883
"Blue Jays",0.232413588228697,0.0900276508757992,0.374181635781963,1.017,1.03388069398828
"Braves",0.234274199091859,0.102960490239856,0.373692577791514,1,1.01132334104344
"Brewers",0.234498639554195,0.0959855863985705,0.372221540333699,1,1.00612145990363
"Cardinals",0.234991301539812,0.102608192928872,0.367843376183024,0.98,0.953821320695397
"Cubs",0.215049093611832,0.108853693277996,0.372724310925834,1.01,1
"Diamondbacks",0.222592473256831,0.09785003224289,0.37694168277581,1.01,1.02560720908711
"Dodgers",0.228676311234632,0.0874151661207983,0.367783771628901,0.96,0.909861854785575
"Giants",0.233993980577163,0.0865134173172755,0.369409932392535,0.97,0.901478176159555
"Indians",0.256315169405621,0.0853831394801884,0.371815474157078,1.02,1.02432335631727
"Mariners",0.216643022993143,0.105203025711301,0.371123775680667,0.98,0.959812989077684
"Marlins",0.221201232517375,0.104427411884493,0.37197921157453,0.963,0.925305944930826
"Mets",0.248369790275694,0.0936789098029363,0.369251041771464,0.96,0.929511140631508
"Nationals",0.236410979022206,0.0900760628114585,0.369913456212287,1,0.976611500975126
"Orioles",0.206934122128773,0.104653351420682,0.37284754150576,1.015,1.04968494733972
"Padres",0.255551227675572,0.0957639864832928,0.372716037725286,0.97,0.913452140167091
"Phillies",0.245258039183558,0.0868584177068958,0.371579998715456,0.995,0.989167634535913
"Pirates",0.257901368266617,0.0947090259537724,0.372874947104652,0.99,0.960319141271768
"Rangers",0.226073719060906,0.0922338625117907,0.373780022341277,1.06,1.1329624893097
"Rays",0.241668340129935,0.0924046796502699,0.368865254575214,0.963,0.920876542366544
"Red Sox",0.238969217066969,0.100031188408646,0.373229588484791,1.038,1.07984486788389
"Reds",0.215949011618724,0.0947603137943862,0.369619369790984,1.01,1.03823982234492
"Rockies",0.223531075931014,0.104217820697956,0.372962450311939,1.13,1.28834720705859
"Royals",0.230126867759313,0.10375612237827,0.374905873214174,1.01,1.03195211407937
"Tigers",0.222497093464609,0.0928638054300367,0.371479150828701,1.01,1.03749504906309
"Twins",0.224394765163733,0.095229882398281,0.372695194339795,1.017,1.03352175721583
"White Sox",0.232437144385038,0.100458361768984,0.372600187190558,1.01,1.02373375635397
"Yankees",0.263363259085058,0.100684875461872,0.36957817423601,1.025,1.04734406659361
