Name,BattingOrder,Team,playerid
Jacoby Ellsbury,1,Yankees,4727
Brett Gardner,2,Yankees,9927
Matt Holliday,3,Yankees,1873
Aaron Judge,4,Yankees,15640
Chris Carter,5,Yankees,9911
Starlin Castro,6,Yankees,4579
Chase Headley,7,Yankees,4720
Austin Romine,8,Yankees,5491
Ronald Torreyes,9,Yankees,11400
Dustin Pedroia,1,Red Sox,8370
Andrew Benintendi,2,Red Sox,17901
Mookie Betts,3,Red Sox,13611
Hanley Ramirez,4,Red Sox,8001
Xander Bogaerts,5,Red Sox,12161
Pablo Sandoval,6,Red Sox,5409
Mitch Moreland,7,Red Sox,3086
Brock Holt,8,Red Sox,9345
Sandy Leon,9,Red Sox,5273
Ezequiel Carrera,1,Blue Jays,9048
Darwin Barney,2,Blue Jays,2430
Jose Bautista,3,Blue Jays,1887
Kendrys Morales,4,Blue Jays,8610
Troy Tulowitzki,5,Blue Jays,3531
Kevin Pillar,6,Blue Jays,12434
Justin Smoak,7,Blue Jays,9054
Devon Travis,8,Blue Jays,13862
Russell Martin,9,Blue Jays,4616
Evan Longoria,1,Rays,9368
Steven Souza Jr.,2,Rays,5667
Logan Morrison,3,Rays,9205
Tim Beckham,4,Rays,7949
Kevin Kiermaier,5,Rays,11038
Peter Bourjos,6,Rays,2578
Brad Miller,7,Rays,12775
Corey Dickerson,8,Rays,10762
Derek Norris,9,Rays,6867
Adam Jones,1,Orioles,6368
Manny Machado,2,Orioles,11493
Chris Davis,3,Orioles,9272
Mark Trumbo,4,Orioles,6876
Hyun Soo Kim,5,Orioles,18718
Seth Smith,6,Orioles,7331
Jonathan Schoop,7,Orioles,11265
Welington Castillo,8,Orioles,3256
J.J. Hardy,9,Orioles,3797
Tim Anderson,1,White Sox,15172
Melky Cabrera,2,White Sox,4022
Jose Abreu,3,White Sox,15676
Todd Frazier,4,White Sox,785
Avisail Garcia,5,White Sox,5760
Jacob May,6,White Sox,NA
Matt Davidson,7,White Sox,7226
Tyler Saladino,8,White Sox,10807
Omar Narvaez,9,White Sox,13338
Francisco Lindor,1,Indians,12916
Jason Kipnis,2,Indians,9776
Carlos Santana,3,Indians,2396
Edwin Encarnacion,4,Indians,2151
Jose Ramirez,5,Indians,13510
Michael Brantley,6,Indians,4106
Abraham Almonte,7,Indians,5486
Lonnie Chisenhall,8,Indians,7571
Yan Gomes,9,Indians,9627
Ian Kinsler,1,Tigers,6195
Nick Castellanos,2,Tigers,11737
Miguel Cabrera,3,Tigers,1744
Victor Martinez,4,Tigers,393
Justin Upton,5,Tigers,5222
Jacoby Jones,6,Tigers,NA
Jose Iglesias,7,Tigers,10231
James McCann,8,Tigers,12859
Tyler Collins,9,Tigers,12723
Brian Dozier,1,Twins,9810
Robbie Grossman,2,Twins,5254
Joe Mauer,3,Twins,1857
Miguel Sano,4,Twins,12164
Jason Castro,5,Twins,8722
Jorge Polanco,6,Twins,13152
Eddie Rosario,7,Twins,12155
Byron Buxton,8,Twins,14161
Max Kepler,9,Twins,12144
Alex Gordon,1,Royals,5209
Mike Moustakas,2,Royals,4892
Lorenzo Cain,3,Royals,9077
