"Team","Tenago","Nineago","Eightago","Sevenago","Sixago","Fiveago","Fourago","Threeago","Twoago","Oneago"
"76ers",17,-11,-8,-20,-36,-5.5,-18,1,1.5,-27
"Celtics",7,2.5,-52.5,-16.5,-4.5,-20.5,6,19,-5.5,-14
"Knicks",-11,14,-10.5,-16.5,4.5,1.5,0,-3,-33,-1.5
"Nets",22.5,-9,25.5,-16.5,-11.5,-14.5,44,17,-11,-8
"Raptors",-20.5,-14,5,-20,-36,-5.5,-18,1,1.5,-27
"Bucks",-13.5,15.5,-8.5,3.5,5,-20.5,6,19,-5.5,-14
"Bulls",17,-16.5,-4,0,11,4.5,3,-15,-33,15.5
"Cavaliers",-8.5,8.5,6,9,11.5,11,-9,9,-17,0.5
"Pacers",13,31,9.5,-8.5,0.5,-16.5,42,-52.5,-16.5,-4.5
"Pistons",-27,9.5,-8.5,17.5,-23,-16,-1.5,-8.5,3.5,5
"Hawks",5,20,8,-18,40.5,-2,12.5,36.5,-13.5,42
"Heat",0.5,-2,-8,-16.5,1,-0.5,2,11.5,2,-11.5
"Hornets",6,21.5,15,-3,-5.5,-6,0.5,-23,0.5,18
"Magic",14,1.5,36.5,7,18,-7.5,-19.5,-20.5,-14,5
"Wizards",-8.5,0.5,-7,14,25.5,-42.5,3,15,-3,2.5
"Trail Blazers",7,-13,10.5,18.5,-32.5,-8,17,9,13.5,-15.5
"Jazz",-5.5,-4.5,-5.5,5,14,54,-0.5,0,-10,-21
"Nuggets",-13.5,13.5,-31.5,18.5,-32.5,-8,17,9,13.5,-15.5
"Timberwolves",-6.5,3.5,32.5,-2.5,29,-9,2,28.5,-7,-24.5
"Thunder",-4,17.5,28.5,-6.5,15.5,-20.5,-16.5,7,-13,10.5
"Clippers",9,11,-2.5,54,-8.5,32,3,-18.5,17.5,7
"Kings",-14.5,19.5,4.5,-2,-5,10,-9,-5.5,29.5,40.5
"Lakers",-14.5,-7,-4,15,1.5,-4,-29,11,5,-21
"Suns",-1.5,-15.5,1,14,15,11,-4.5,30.5,39,3
"Warriors",32,3,-18.5,17.5,7,-20,2,7.5,0.5,-18
"Grizzlies",-6.5,2,1,15,-14.5,-11.5,22.5,41.5,-16,35
"Mavericks",-1.5,19.5,-8,-9,4.5,-9,22.5,41.5,3,-19.5
"Pelicans",22,-9,-27.5,8,4.5,1.5,-6,30.5,29.5,-20.5
"Rockets",-6.5,-0.5,0,-10,-21,-20,2,7.5,0.5,-18
"Spurs",15,-17,-19.5,-13.5,9,18,11,-13.5,13.5,-31.5
