"Team","bullpenStrikeoutRate","bullpenWalkRate","bullpenwOBA","wOBA","lineLearnedPF"
"Angels",0.258127202566631,0.10901975562661,0.376776215943924,0.975,0.99
"Astros",0.260903784565607,0.0892669657556408,0.364233150331866,1.01,1.02
"Athletics",0.236760833406561,0.0964114124648211,0.360882120899793,0.975,0.99
"Blue Jays",0.246826202182249,0.0919377621811003,0.386344414534387,1.007,1.04
"Braves",0.24815547704263,0.0924828039514171,0.376333343033807,1.01,1
"Brewers",0.277529388600172,0.0891185955116854,0.369790851181614,1.015,1
"Cardinals",0.259893573957711,0.106358487973557,0.364077537797024,0.97,0.93
"Cubs",0.214384243116879,0.107108649522834,0.377415625823222,1,1
"Diamondbacks",0.25022693334754,0.100019228124012,0.37769022786921,1.01,1
"Dodgers",0.231772735953994,0.0858144409507582,0.362089563775775,0.973,0.92
"Giants",0.23682183913659,0.0850728237249096,0.374696653356979,0.968,0.91
"Indians",0.250888845288621,0.0733323064349749,0.370171778750187,1.008,1.04
"Mariners",0.225441089190521,0.107740616673158,0.376981556106569,0.975,0.99
"Marlins",0.237737622174233,0.104698765951606,0.381020279415773,0.975,0.9253059449
"Mets",0.264481657536445,0.0890432157823133,0.368861857047589,0.972,0.9295111406
"Nationals",0.24153488168862,0.0881225137028993,0.379726417530804,1.005,0.98
"Orioles",0.22676226134292,0.106697677926964,0.375445927982872,1.009,1.05
"Padres",0.263566854883227,0.0844530565007682,0.377685594783148,0.975,0.92
"Phillies",0.245109516608274,0.0855121687107098,0.370095494283186,1.01,0.9891676345
"Pirates",0.239769903422815,0.100781335920181,0.37041565342689,0.99,0.9603191413
"Rangers",0.226617108720732,0.0919629662913219,0.378318482599046,1.05,1.11
"Rays",0.246189042605711,0.096835397289886,0.368485899220459,0.978,0.98
"Red Sox",0.278966933994672,0.108400262662052,0.379489460860487,1.02,1.06
"Reds",0.244866043248633,0.0919968610460771,0.366284185826191,1.05,1.04
"Rockies",0.218631292585468,0.0990616276840087,0.374135020896243,1.13,1.26
"Royals",0.252323395640084,0.107467245818799,0.377285849016497,0.99,1.0319521141
"Tigers",0.22013971087731,0.0976389968091888,0.383822579716856,0.995,1.0374950491
"Twins",0.258070998260131,0.0872445666384899,0.376563209218041,1.011,1.04
"White Sox",0.236300918084423,0.0992339485439915,0.37367274354641,1.015,1.05
"Yankees",0.277559303444978,0.105677239164595,0.362545671317757,1.017,1.05
