"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
501985,0.223052430048662,0.0826676259095969,0.365973176327555,501985,"R",0,0
542194,0.250313743243243,0.081625555655702,0.356436746987952,542194,"R",0,0
572008,0.238730237510823,0.0570220759331764,0.333052951971061,572008,"R",0.00144000871941915,0
571976,0.27021411435234,0.0891396941721402,0.427589494792179,571976,"R",0.00349908493443602,-0.00533623405851463
545358,0.261077043709599,0.101513325861053,0.374331954321225,545358,"R",-0.00298,0.00385821836143757
571871,0.216748768472906,0.0847835841584158,0.358440740740741,571871,"L",0,0
542513,0.162599763136174,0.0685197002086133,0.311191964832917,542513,"S",3.06306306306306e-05,0
542340,0.266880786318666,0.0849878170659098,0.369399004905561,542340,"S",0.00372987440990469,-0.000844326812517447
502190,0.234150640055556,0.0662625262887266,0.337370310179838,502190,"R",0,0
544931,0.214758294746603,0.0619559096799603,0.302289711344749,544931,"R",0,0
545361,0.20246216038146,0.147665576263486,0.498897495456875,545361,"R",0.00503963069656389,0.00126091114461965
545338,0.187954777539071,0.0980908854810688,0.328274677640905,545338,"S",0.00204705882352941,0
545363,0.225694490128755,0.0867066005507502,0.344245294117647,545363,"R",0,0
571946,0.21935910466158,0.0973320123638916,0.347346547164267,571946,"R",0,0
571740,0.222806016581138,0.0724629505932015,0.294316517862598,571740,"S",0.00988524213804312,0.00605810407651689
571466,0.174617587920867,0.0962885418657665,0.328385082692116,571466,"S",-0.00631207304149344,0.00901519785400426
578428,0.108329601216511,0.0318799717199316,0.302413690215905,578428,"R",0.00224154414357239,0.0105606111380487
545341,0.265943016490021,0.0648226197658428,0.414750731998685,545341,"R",0.00147253530782943,-0.00106120074054483
474832,0.224356245947349,0.112320335453469,0.407356654465608,474832,"L",0.00123529777881511,-0.00108935229093541
516472,0.236064830140987,0.0576598047384502,0.351888538151599,516472,"L",-6e-04,0
516949,0.2644843704671,0.0640015497730796,0.369541833030853,516949,"S",-0.00255804195804196,0
543054,0.228453275684932,0.0823125517241379,0.348284523809524,543054,"R",0,0
554430,0.298364039476526,0.0461928126679363,0.314877372408293,554430,"L",0,0
541640,0.239580098473131,0.0838541828458478,0.364014644121364,541640,"R",0,0
543611,0.2025505121741,0.0783595312513883,0.345225931962774,543611,"L",0,0
542454,0.262240524493418,0.0609707234050031,0.344963366430849,542454,"S",0.00352921348314607,0
542364,0.185055218487395,0.0840836328396277,0.324051918147642,542364,"L",-0.00573986013986014,0
542303,0.180037238264644,0.0780439674435765,0.397389640857733,542303,"R",-0.000828183071770963,-0.00240942590758512
571681,0.236537216864621,0.0676953948536011,0.349141478442169,571681,"L",0.00157241379310345,0
571697,0.203540302108658,0.0633466773169766,0.393586123454233,571697,"L",-0.00216485937568988,-0.00012071037200291
547912,0.35938901214186,0.0937512777259825,0.361258134732396,547912,"R",0,0
571974,0.285538528454013,0.0708301103027184,0.364144126857938,571974,"R",0.00128340807174888,0
572000,0.220496564597285,0.081325614094051,0.349124771398192,572000,"R",0,0
570267,0.318500566901118,0.0956747170915062,0.436858089029987,570267,"R",0.0013940762031617,-0.00360782759474858
571830,0.237391724726112,0.0679935654694969,0.37377315855318,571830,"R",-0.00348930581613508,-0.00464465240641711
572362,0.255148360095204,0.0736735832746069,0.349502158466043,572362,"R",0,0
588751,0.18456105457066,0.0336904014275505,0.327395095461864,588751,"R",0.000548619615425932,0.00711009207218823
571771,0.184929978924197,0.103523022680133,0.352246363474258,571771,"R",0.00565598086124402,0
