"pitcher","totalPitcherStrikeoutRate","totalPitcherWalkRate","totalPitcherwOBA","throws","inningsPerStart","Rank","Factor"
112526,0.135642806889977,0.0650150497833131,0.387539715181074,"R",5.79583333333333,0.456621393365171,1.02576783070016
279571,0.197867691539605,0.0880494946135358,0.374481266701026,"R",5.4,0.5,1
282332,0.210016261068107,0.0804220304773915,0.36013104767997,"L",5.27586206896552,0.634792926165074,0.943094430085171
407822,0.20889713831185,0.0991570121875,0.374589568369722,"L",5.4,0.5,1
407845,0.232511545592211,0.109069753078916,0.36944813551107,"R",5.4,0.5,1
408314,0.204148324886878,0.106006576931716,0.375715871213393,"R",5.4,0.5,1
424144,0.287408776030813,0.0809531502804854,0.369275759235055,"L",5.4,0.5,1
425492,0.232302211737548,0.0841182835856508,0.372287050097509,"R",5.4,0.5,1
425772,0.221730276190476,0.100356365972222,0.374578820358791,"R",5.4,0.5,1
425794,0.229228432332076,0.0988430555645445,0.369940192280628,"R",5.0125,0.53257300377333,1.01695877942409
425844,0.236396601008426,0.0771070496068278,0.381539859745339,"R",6.27878787878788,0.611026219650486,0.900095198122849
429719,0.187492062549514,0.104423036179356,0.37578160316414,"R",5.41176470588235,0.512410244389081,1.03217602189884
429722,0.151718781200135,0.106021805593265,0.387549021598423,"R",5,0.478594591244487,0.99386160950888
430641,0.156954450790383,0.100893855224174,0.374134617134695,"R",5.4,0.5,1
430935,0.211709213671931,0.0833372608381743,0.387165447512192,"L",5.94375,0.561279968836357,0.981754614082755
431145,0.217270425365854,0.0991653612676056,0.371949937631298,"R",5.4,0.5,1
433586,0.192791050908346,0.122596516118285,0.368840859135706,"R",5.4,0.5,1
433587,0.180574203722445,0.0860348673711721,0.381344107711135,"R",5.35714285714286,0.515561148984035,1.01982478450751
433589,0.172483197321681,0.0689831524653629,0.365542201646075,"R",5.4,0.502523364043247,1.00063721633313
434378,0.322086978489217,0.0675998024699356,0.366037908911384,"R",6.29411764705882,0.673109794690816,0.893583216826431
434538,0.209476411863159,0.12697969257657,0.376851017520395,"L",5.04615384615385,0.428541959099599,0.998836494798669
434628,0.167809334853325,0.0736313714421745,0.386864230792701,"R",5.67222222222222,0.410626393905972,0.980415140449184
434671,0.196181267587845,0.098610840437277,0.365698859261826,"R",5.55,0.577170481078897,0.982599353572881
434778,0.212998551923077,0.104102136173184,0.372727411479259,"R",5.4,0.5,1
435043,0.180849953452693,0.102406332039244,0.362558269701832,"L",5.4,0.5,1
435221,0.183747229561238,0.080125892455503,0.379651614689158,"R",5.21333333333333,0.539002292098117,1.00323208276221
444468,0.255722742143767,0.0909947878645028,0.365203213025989,"R",5.4,0.5,1
445197,0.184678877317079,0.134583868590828,0.369669472239404,"L",5.4,0.5,1
445213,0.193098356729916,0.085303812480296,0.377428606904668,"R",5.4,0.5,1
445276,0.283466529719466,0.0800839227699944,0.363703223521,"R",5.4,0.5,1
445926,0.211808030888892,0.0787839057133132,0.372931952304578,"R",5.4,0.475358931825231,0.999590164875234
446099,0.222418007315636,0.100230531672007,0.3665770651499,"R",5,0.500305983605558,1.00057555292013
446321,0.201521467951366,0.0972464542169227,0.37330778579523,"L",5.4,0.5,1
446372,0.238901282176936,0.0820225712311221,0.373210930024375,"R",6.51515151515152,0.631976268650704,0.93283656622673
446399,0.168346217070479,0.106744531562863,0.37585599985603,"L",5.4,0.5,1
446899,0.179491549140136,0.0890116526314345,0.367443403167255,"R",5.4,0.5,1
448167,0.184565614276887,0.104293856414403,0.374386483350578,"L",5.4,0.5,1
448178,0.177950835575314,0.113502003921786,0.374034072666344,"R",5.4,0.5,1
448179,0.2570119554801,0.0873443213614712,0.378917669110339,"L",5.46666666666667,0.613485090391359,0.985881870778263
448281,0.296788336841211,0.0683672981111728,0.365115970992852,"L",5.4,0.5,1
448306,0.183577947467866,0.102241224618751,0.378339791451237,"R",6.18181818181818,0.415761154201957,1.01670194497058
448609,0.225616795314015,0.0962876990104497,0.370513873498357,"L",5.4,0.5,1
448614,0.219511125029118,0.0987039867109102,0.374518887912607,"R",5.4,0.5,1
448802,0.210637299795791,0.11228198932438,0.375959503246455,"L",5,0.507997349172896,0.994547620567721
448855,0.173959643172063,0.104317960738531,0.368965448078771,"R",5.19230769230769,0.556979206229712,0.982672764483561
450172,0.204818490745588,0.11503037805754,0.375317136768694,"R",5.4,0.500641272580559,1.01838028786732
450203,0.290351323395686,0.105789120364123,0.364401256352792,"R",5.56666666666667,0.644432412088291,0.927781259892412
450212,0.184422952521499,0.0777138980635841,0.367027429891047,"R",5.4,0.5,1
450306,0.16608685975219,0.0987508660179014,0.378485880648505,"L",5,0.464286069952746,1.02666153661985
450665,0.197550887309965,0.108971184809211,0.372649914248831,"R",5,0.496971545656161,1.00312534239327
450729,0.15766571833229,0.0888372568041297,0.376486240469207,"R",5.5,0.478412628012864,0.978231358453088
451584,0.281967394484995,0.126507897994533,0.362421521593019,"R",5.4,0.5,1
451596,0.15338497990748,0.11323602801438,0.378065930781947,"R",5.11111111111111,0.426496460729442,1.0359228235832
451661,0.212508502991545,0.087425665959825,0.370926818913947,"R",5.4,0.5,1
452657,0.202665957088892,0.111091890138912,0.391226781318943,"L",5.6625,0.561344130249742,0.97879232742831
453172,0.199705422130791,0.0896121999871422,0.364182756966006,"R",5.4,0.5,1
453178,0.212501754572023,0.0843559049851349,0.379205813823554,"R",5.41818181818182,0.423013859445642,0.9733300251885
453192,0.255706216493484,0.106567556404741,0.372608654880794,"L",5.4,0.5,1
453214,0.235642079896138,0.110134562413039,0.371372735434232,"R",6,0.534567524205783,1.02456412386651
453265,0.229126384609116,0.061119766434374,0.37098033135559,"L",5.4,0.5,1
453281,0.175258227789041,0.0793048481748291,0.378943982733257,"L",5.48518518518518,0.5155015272938,0.992071279548737
453284,0.224163599495721,0.10897117718123,0.378017375096874,"R",5.4,0.5,1
453286,0.325793268196845,0.065922463406378,0.367735854927204,"R",6.67272727272727,0.633337403540438,0.924424532585161
